family,stem,reg_via_transforms,reg_via_regex,file_via_transforms,file_no_match
agenttesla,104ef2e1223676a6d315da9de43b53286de58d5a390cb6d8c0ef391e7ee23a86,0,664,183,46
agenttesla,ce683b26018a84f023bcb4b52378b88f5fea654c50a42aa136ef47b67898fb40,0,989,52,67
agenttesla,6d6a1f154c6ae1d70ede87fb06b8588807f50b33315fe4dbfbef9126b18f3bc2,0,446,44,36
agenttesla,85b3c9f10a8f1e3aee3d393260f82c7dcf8d23dcd899117f0394f6a9f0fdc7fd,0,655,180,43
amadey,18fd6b193be1d5416a3188f5d9e4047cca719fa067d7d0169cf2df5c7fed54c0,0,312,178,27
amadey,6db69d1dbd4dbe1108a05955d03052864c7acf3165d0ddbfad7e4156c37a0bd8,0,46,36,8
amadey,6932aa2b259a43e44dd5ba561ff61db50480ae95aa6fbab7d875e411fd74befc,0,1641,65,42
amadey,30c8c226fbe1ec0bda70541cd36c632e937182e0a55b639c4f26d2340868f481,0,511,32,24
amadey,e108ff127816c7473b4288f40bd13567a985e223950fa93d9ab0d43aeb8ec658,0,533,60,38
amadey,4e4eed16b3a6b4c9f1168745b8268765a9b7a0b5c557cc7e2975c24940eed32d,0,46,33,8
amadey,074dfa8168d74a7af03ded4012ec5fb0d12a03280903bd5c7fde7f842172670e,0,177,20,8
amadey,c2dde09d415c9a9cee697b38102054fcf775c3e2880ba4593929311da994dd11,0,861,56,38
amadey,c82d2fce74ea779ecf9d29ba5e371111917a7724b72a321406755a97434b6b9b,0,731,36,26
amadey,767b03b1909c858a948371ed7791ff0c0629e5e4c7d60f97900b1fc27485103a,0,49,3,9
amadey,7095952df050e7b9744fd672e0a3bd68fb3f4327a856972603e545de2649a494,0,305,25,11
amadey,ec137c56ce1fbf300d20e4da977f3df9d82ab43a1479afec5ab0ec5997823ad6,0,646,56,38
amadey,973c875729ccab5d3b082d708b110a460dba4a519e065e5e2292bdf399bb251a,0,46,21,8
amadey,af3abce52d153228bfc6b631d43f74c0c0446e04f68163b85811ddd49ad349eb,0,170,20,8
amadey,7732b3137a721cb543261e9c4ecb5c90b51aa6d810c2df0104df6b11e319dbd8,0,46,36,8
amadey,44ab913e6708ebdb117d4d0608fd14c7a3b5280db5425b0f4e4d3bdad8654f55,0,46,24,8
amadey,faa2daf2db5f5ba0927b64b5313347194e3ba0cf6dbb25ec408f4f5ab3a2d481,0,634,36,21
amadey,1984500308101a791019acb978621a31530f8564f4afcfbe43fa22cb68dfd117,0,394,33,23
amadey,ee4c5daa2e1992d339be9e9a69726641952127dfc0c4a74b695e720fd8f2c548,0,285,22,8
amadey,babe2bac544203762a76125e6b592106f506b056d4d23f1b565156419c12e0ec,0,739,53,34
berbew,1db05a6f525d57e95a6febe10c1afb560afde09e092b42a42d67dec8dac3cdbe,0,35,1,5
berbew,ac66fb6b4319ec1033c63ffb6e27676f939ac615ba29b094949f5df8a492f4be,0,35,1,5
berbew,a845654b1ea084e5844789b964f145e0ef9c0e7cf24cd831691b03bb1666261a,0,35,1,5
berbew,ac24f8ec2c88437a288f000db635cd612f18a0972c5415958f1c1fbb80018c8e,0,35,1,5
berbew,1771e9da2d4ca305d494ed19eee91d7c996eacf77804081fc495a554c27295c6,0,35,1,5
berbew,b0905ce30d775ea36e56600a5dfede32727716f7f60f0e30d1e41d23d2c50413,0,35,1,5
berbew,0e3b2cd19e68c440e1a9d6251f85331e174491e5b1f22d46c5e7bf9aa9a9901a,0,35,1,5
berbew,501c8445e6c94bf1f08225117a788729db2c5c589a226759c38fc85bab739d5e,0,35,1,5
berbew,61f786db1048e1308e88849c3d35c969b05b30c067a76844f7b6da1f3143c373,0,35,1,5
berbew,7eb7dce331e5739a87a4b6676c4d9d9f909350856c0b96a7e7d79ec3a63bb19c,0,35,2,5
berbew,d543feebe566d610090e949d9be2c2a0a976713c5f1a3baf8ebce3424cc0e7eb,0,35,1,5
berbew,75f5d526210688ec3b5bdfd14ff472998de28aaa6e5986e9aa2cadfff421f0cc,0,35,1,5
berbew,9e22f70a594fd99e327c16d143c71b9788a28175c0d2fae5ce9ddba535d6e9b9,0,35,2,5
